City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Angoram,PG,100,1574479714,73,-4.06,144.07,87.51,2.19
Pfullendorf,DE,93,1574479715,83,47.92,9.25,46.0,9.17
Ongandjera,NA,44,1574479717,28,-17.88,15.07,68.85,7.74
Monterey,US,1,1574479718,71,36.6,-121.89,57.99,4.7
Sola,TZ,100,1574479720,88,-3.17,33.8,65.88,6.91
Muriwai Beach,NZ,0,1574479722,72,-36.82,174.45,71.01,18.34
Hobyo,SO,0,1574479723,79,5.35,48.53,79.5,14.43
Pakruojis,LT,86,1574479725,58,55.98,23.85,26.6,20.8
Oum Hadjer,TD,9,1574479728,15,13.3,19.7,73.63,9.28
Catalina,PE,40,1574479730,82,-13.57,-76.13,68.0,14.99
Faanui,PF,21,1574479731,80,-16.48,-151.75,80.98,16.93
Sao Gabriel da Cachoeira,BR,100,1574479735,97,-0.13,-67.09,73.08,2.37
Turukhansk,RU,100,1574479736,96,65.8,87.96,-3.19,11.36
Tsukumi,JP,40,1574479738,77,33.08,131.85,64.4,4.7
Leningradskiy,RU,98,1574479739,94,69.38,178.42,0.57,23.24
Weyburn,CA,0,1574479741,84,49.67,-103.85,28.99,14.0
Coquimbo,CL,0,1574479743,82,-29.95,-71.34,60.8,3.44
Tuban,ID,84,1574479744,44,-6.9,112.07,90.72,5.82
Kamenka,MD,100,1574479746,79,48.03,28.7,24.01,4.0
Pemba,MZ,75,1574479747,94,-12.97,40.52,80.6,8.05
Bojnurd,IR,90,1574479749,94,37.47,57.33,32.0,9.17
Akureyri,IS,100,1574479751,78,65.68,-18.09,32.0,5.82
Shu,KZ,92,1574479752,61,43.6,73.76,30.99,3.0
Broome,GB,100,1574479754,81,52.47,1.45,51.01,14.99
Margate,AU,75,1574479756,25,-43.03,147.26,66.2,20.8
Turayf,SA,0,1574479757,86,31.68,38.65,41.0,2.24
Dehloran,IR,98,1574479759,33,32.69,47.27,55.54,1.14
Tiarei,PF,75,1574479760,83,-17.53,-149.33,78.8,24.16
Bonfim,GY,87,1574479762,90,3.36,-59.84,74.23,2.33
Buraydah,SA,0,1574479764,66,26.33,43.97,51.8,2.24
Zhezkazgan,KZ,24,1574479765,83,47.8,67.71,-4.0,4.47
Hasaki,JP,75,1574479767,100,35.73,140.83,59.0,14.99
Port Blair,IN,20,1574479548,70,11.67,92.75,86.0,11.41
Bandarban,BD,0,1574479770,83,22.2,92.22,73.4,3.38
Coihaique,CL,86,1574479772,71,-45.58,-72.07,53.6,1.3
Kruisfontein,ZA,33,1574479773,94,-34.0,24.73,54.45,5.17
Progreso,UY,75,1574479775,72,-34.68,-56.22,64.0,12.75
Mastic Beach,US,1,1574479778,48,40.77,-72.85,42.01,12.75
Daloa,CI,1,1574479780,94,6.88,-6.45,71.02,2.39
Kichera,RU,100,1574479783,82,55.93,110.1,-9.99,1.77
Yarada,IN,0,1574479785,75,17.65,83.27,77.13,11.45
Betlitsa,RU,97,1574479786,41,54.01,33.96,20.28,8.16
San Carlos de Bariloche,AR,33,1574479788,25,-41.13,-71.31,64.4,2.24
Barra dos Coqueiros,BR,20,1574479789,74,-10.91,-37.04,80.6,13.87
San Patricio,PY,0,1574479791,88,-26.98,-56.83,73.17,6.93
Constitucion,MX,40,1574479793,21,23.99,-104.67,59.0,8.05
Batticaloa,LK,56,1574479794,81,7.71,81.69,80.29,3.4
Roald,NO,87,1574479796,70,62.58,6.12,46.99,4.7
Abnub,EG,0,1574479799,71,27.27,31.15,53.6,5.82
Wangou,CN,100,1574479801,78,42.06,126.91,37.85,4.81
Saint-Georges,CA,100,1574479802,84,46.12,-70.67,25.0,5.99
Pilibanga,IN,91,1574479804,46,29.49,74.08,66.79,9.06
Manta,RO,100,1574479806,96,45.1,24.1,34.29,6.35
Guaruja,BR,34,1574479807,69,-23.99,-46.26,77.0,11.41
Svetlogorsk,RU,90,1574479809,74,53.14,59.15,28.4,6.71
Saint Stephen,US,1,1574479811,79,45.7,-94.27,28.4,10.29
Sarany,RU,100,1574479812,93,58.55,58.76,19.06,10.2
Chernyshevskiy,RU,100,1574479814,91,63.01,112.47,-7.4,9.13
Bilibino,RU,99,1574479816,99,68.06,166.44,-26.5,1.52
Inhambane,MZ,40,1574479817,94,-23.87,35.38,77.0,11.3
Husavik,CA,0,1574479819,88,50.56,-96.99,28.99,7.0
Mount Gambier,AU,40,1574479820,48,-37.83,140.78,62.6,19.46
Shunyi,CN,100,1574479822,58,40.13,116.65,53.6,11.18
Santa Maria,BR,40,1574479825,88,-16.02,-48.01,68.0,2.24
Morondava,MG,91,1574479827,78,-20.3,44.28,77.81,1.79
Provideniya,RU,20,1574479830,87,64.42,-173.23,2.64,7.99
Moindou,NC,10,1574479832,42,-21.69,165.68,82.4,24.16
Mizdah,LY,56,1574479833,71,31.45,12.98,52.84,7.65
Longyearbyen,NO,90,1574479835,79,78.22,15.63,26.6,16.11
Hambantota,LK,20,1574479836,100,6.12,81.12,78.8,6.93
Riviere-au-Renard,CA,90,1574479838,93,49.0,-64.4,35.6,6.93
Bathsheba,BB,20,1574479841,94,13.22,-59.52,75.2,4.7
Yulara,AU,41,1574479622,7,-25.24,130.99,91.4,14.99
Salta,AR,75,1574479845,93,-24.79,-65.41,68.0,3.36
Kenai,US,90,1574479846,86,60.55,-151.26,39.2,11.41
Owerri,NG,94,1574479848,96,5.49,7.03,73.81,2.57
Nishihara,JP,75,1574479849,100,35.74,139.53,59.0,13.87
Micheweni,TZ,39,1574479851,82,-4.97,39.83,81.9,10.36
Haines Junction,CA,94,1574479853,96,60.75,-137.51,24.04,8.25
Khandyga,RU,87,1574479854,92,62.65,135.58,-18.72,5.01
Coruripe,BR,22,1574479856,80,-10.12,-36.18,77.47,13.35
Jumla,NP,100,1574479858,36,29.28,82.18,50.13,1.14
Rio Gallegos,AR,23,1574479859,57,-51.62,-69.22,51.8,5.82
Escarcega,MX,86,1574479861,84,18.61,-90.75,74.48,4.34
Inuvik,CA,90,1574479862,84,68.36,-133.71,-0.4,2.24
Padang,ID,100,1574479866,70,-0.92,100.36,79.65,2.75
Severo-Yeniseyskiy,RU,100,1574479867,95,60.37,93.04,-3.53,11.03
Sumbe,AO,92,1574479869,91,-11.2,13.84,71.64,3.96
Kuala Selangor,MY,20,1574479870,70,3.34,101.25,87.8,4.7
Yantal,RU,100,1574479874,90,56.85,105.25,-2.38,8.25
Castlemaine,AU,100,1574479875,33,-37.07,144.22,73.99,7.0
Bordighera,IT,75,1574479877,67,43.79,7.66,62.6,24.16
Makubetsu,JP,20,1574479880,55,42.84,143.34,39.2,3.36
General Roca,AR,92,1574479882,15,-39.03,-67.58,73.4,9.17
Kencong,ID,20,1574479885,46,-7.78,112.24,90.73,5.66
Porto Belo,BR,20,1574479887,83,-27.15,-48.54,77.0,9.17
Creel,MX,3,1574479888,57,27.75,-107.63,40.86,2.26
Hulan Ergi,CN,0,1574479891,42,47.2,123.63,20.28,11.88
Rosarito,CO,75,1574479893,100,4.91,-75.23,71.6,3.36
Nouadhibou,MR,0,1574479895,82,20.93,-17.03,66.2,14.99
Vardo,US,1,1574479896,64,39.62,-77.74,39.99,6.38
Deniliquin,AU,14,1574479898,24,-35.53,144.96,80.01,15.99
Tigil,RU,54,1574479900,89,57.8,158.67,21.81,14.03
Santa Fe,AR,0,1574479643,65,-31.62,-60.7,70.0,10.0
Araouane,ML,0,1574479903,16,18.9,-3.53,70.16,6.2
San Jeronimo,PE,100,1574479904,82,-13.65,-73.37,53.83,1.88
Karratha,AU,79,1574479906,47,-20.74,116.85,86.02,10.11
Mount Pleasant,US,90,1574479908,87,33.16,-94.97,46.99,9.17
Linden,GY,75,1574479910,100,6.01,-58.31,75.2,4.7
Newport,GB,90,1574479911,93,51.59,-3.0,48.0,13.87
Avera,US,75,1574479913,87,33.19,-82.53,62.6,6.13
Karonga,MW,75,1574479914,72,-9.94,33.93,78.76,7.92
Sechura,PE,1,1574479916,86,-5.56,-80.82,66.42,11.34
Grand-Santi,GF,100,1574479918,98,4.27,-54.38,71.98,1.88
Riverton,US,1,1574479887,85,43.02,-108.38,18.0,3.36
Tondano,ID,40,1574479921,59,1.3,124.91,89.6,5.82
Kieta,PG,64,1574479924,62,-6.22,155.63,86.5,10.22
Deori Khas,IN,0,1574479926,50,23.39,79.03,69.01,1.16
Soma,JP,75,1574479928,81,37.8,140.92,55.99,5.82
Gunupur,IN,0,1574479929,73,19.07,83.81,72.75,1.68
Mayor Pablo Lagerenza,PY,71,1574479931,61,-19.93,-60.77,79.48,2.71
Ahuimanu,US,90,1574479933,73,21.44,-157.84,80.6,3.36
Ingham,AU,0,1574479934,32,-18.65,146.16,90.34,8.88
Nyurba,RU,97,1574479936,93,63.29,118.35,-10.43,6.51
Mandalgovi,MN,100,1574479937,42,45.76,106.27,6.39,6.73
Esfahan,IR,100,1574479854,92,32.66,51.68,28.4,4.7
Bayeux,BR,20,1574479941,83,-7.13,-34.94,77.0,5.82
Beaupre,CA,75,1574479942,73,47.04,-70.9,27.0,20.8
Bokovskaya,RU,0,1574479945,47,49.23,41.83,14.76,7.85
Azare,NG,96,1574479947,26,11.67,10.19,75.0,5.32
Cururupu,BR,100,1574479948,93,-1.82,-44.87,73.47,2.84
Hami,CN,0,1574479950,23,42.84,93.51,22.33,1.61
Huilong,CN,100,1574479952,67,31.15,106.5,56.01,2.77
Shaunavon,CA,31,1574479953,78,49.65,-108.41,31.19,11.48
San Quintin,PH,72,1574479955,64,17.54,120.52,85.17,3.06
Lodja,CD,100,1574479957,99,-3.52,23.6,67.6,3.24
Kitgum,UG,100,1574479958,95,3.3,32.88,64.96,4.56
Sao Filipe,CV,91,1574479960,76,14.9,-24.5,73.09,14.61
Wasilla,US,90,1574479962,100,61.58,-149.44,37.99,4.99
Akranes,IS,75,1574479963,65,64.32,-22.07,44.6,11.41
Pringsewu,ID,7,1574479965,55,-5.36,104.98,85.78,4.81
Crixas,BR,95,1574479966,83,-14.55,-49.97,74.01,3.2
North Bend,US,1,1574479702,93,43.41,-124.22,46.0,2.77
Kloulklubed,PW,75,1574479970,74,7.04,134.26,86.0,6.93
Shimoda,JP,75,1574479971,93,34.7,138.93,68.0,34.45
Adrar,DZ,1,1574479973,41,27.87,-0.29,57.2,8.05
Nabire,ID,44,1574479974,49,-3.36,135.5,92.37,4.68
Salani,IN,100,1574479976,40,29.96,79.71,58.32,2.71
Bintulu,MY,75,1574479979,74,3.17,113.03,86.0,3.36
Darlowo,PL,99,1574479981,77,54.42,16.41,37.98,15.35
Santa Vitoria do Palmar,BR,38,1574479983,79,-33.52,-53.37,62.44,9.89
Saint Augustine,TT,20,1574479984,88,10.65,-61.4,77.0,5.61
Mananjary,MG,99,1574479986,85,-19.16,46.8,66.42,1.5
